,Year,District,2 Year,4 Year,Not Enrolled,all_students,female,male,gender_x,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_of_any_race,native_hawaiian_other_pacific,two_or_more_races,white,english_language_learners,highly_capable,low_income,non_english_language_learners,non_highly_capable,non_low_income
67,2014,Kittitas,0.19,0.38,0.43,669,321,348,0,4,7,4,144,1,10,499,54,1,333,615,668,336
68,2014,La Center,0.34,0.26,0.4,1621,777,844,0,8,18,9,104,0,31,1451,35,0,500,1586,1621,1121
69,2014,La Conner,0.3,0.45,0.26,660,317,343,0,221,5,2,63,4,23,342,71,10,352,589,650,308
70,2014,Lake Chelan,0.32,0.425,0.265,1490,698,792,0,2,6,3,812,0,12,655,401,24,1015,1089,1466,475
71,2014,Lake Stevens,0.36,0.25,0.39,8512,4070,4442,0,53,295,147,1125,29,642,6221,313,306,2826,8199,8206,5686
72,2014,Lake Washington,0.23399999999999999,0.592,0.176,26923,12964,13959,0,67,5788,440,2879,41,1897,15811,2171,1474,3991,24752,25449,22932
73,2014,Lakewood,0.26,0.2,0.54,2398,1145,1253,0,35,43,38,341,12,144,1785,109,36,777,2289,2362,1621
74,2014,Liberty,0.25,0.38,0.38,420,186,234,0,3,0,2,25,0,11,379,0,6,170,420,414,250
75,2014,Longview,0.41333333333333333,0.22666666666666666,0.3633333333333333,6724,3320,3404,0,81,119,68,1317,22,476,4641,394,183,4340,6330,6541,2384
76,2014,Lynden,0.3,0.28,0.42,2963,1442,1521,0,9,72,37,680,3,86,2076,263,0,1103,2700,2963,1860
77,2014,Mabton,0.22,0.14,0.63,978,492,486,0,0,0,0,950,0,0,28,394,0,944,584,978,34
78,2014,Manson,0.51,0.17,0.31,709,334,375,0,6,6,6,482,0,2,207,239,0,570,470,709,139
79,2014,Marysville,0.33285714285714285,0.25285714285714284,0.41714285714285715,11544,5668,5876,0,701,576,182,2458,87,1151,6389,879,383,6157,10665,11161,5387
80,2014,Mead,0.255,0.495,0.25,9855,4802,5053,0,40,81,112,560,64,770,8228,240,555,3345,9615,9300,6510
81,2014,Medical Lake,0.28,0.275,0.43999999999999995,2009,915,1094,0,6,23,64,209,9,187,1511,10,15,778,1999,1994,1231
82,2014,Mercer Island,0.1,0.8,0.1,4444,2092,2352,0,8,845,61,193,9,300,3028,103,656,220,4341,3788,4224
83,2014,Meridian,0.36,0.25,0.39,1755,844,911,0,18,73,22,310,1,67,1264,117,17,715,1638,1738,1040
84,2014,Methow Valley,0.11,0.47,0.42000000000000004,647,310,337,0,2,10,0,39,0,17,579,7,0,340,640,647,307
85,2014,Monroe,0.26,0.33499999999999996,0.4,7299,3567,3732,0,63,182,88,1363,19,329,5255,558,1171,2223,6741,6128,5076
86,2014,Montesano,0.51,0.18,0.31,1329,646,683,0,18,16,1,136,0,82,1075,17,22,547,1312,1307,782
87,2014,Moses Lake,0.295,0.22999999999999998,0.475,8263,4058,4205,0,54,78,116,3669,4,208,4134,913,304,5471,7350,7959,2792
88,2014,Mount Adams,0.13,0.31,0.56,958,479,479,0,502,0,0,353,0,62,41,155,0,915,803,958,43
89,2014,Mount Vernon,0.36,0.31,0.33,6589,3230,3359,0,40,116,61,3611,36,150,2575,1639,4,4612,4950,6585,1977
90,2014,Mukilteo,0.32,0.37333333333333335,0.3033333333333333,15386,7326,8060,0,68,2303,895,4273,175,1320,6352,2788,465,8394,12598,14921,6992
91,2014,Napavine,0.34,0.17,0.49,792,388,404,0,7,4,5,98,0,27,651,25,0,409,767,792,383
92,2014,Newport,0.16,0.32999999999999996,0.51,1074,504,570,0,3,5,3,44,1,68,950,0,119,698,1074,955,376
93,2014,Nine Mile Falls,0.39,0.27,0.34,1495,734,761,0,32,5,15,61,4,86,1292,0,50,450,1495,1445,1045
94,2014,Nooksack Valley,0.4,0.21,0.38,1675,823,852,0,72,14,6,536,1,87,959,208,0,1017,1467,1675,658
95,2014,North Franklin,0.24,0.19,0.5700000000000001,2150,1013,1137,0,3,24,7,1520,2,20,574,749,0,1678,1401,2150,472
96,2014,North Kitsap,0.26666666666666666,0.37333333333333335,0.3566666666666667,6137,3041,3096,0,253,185,62,707,20,672,4238,199,284,2281,5938,5853,3856
97,2014,North Mason,0.295,0.175,0.53,2156,1064,1092,0,18,23,18,389,12,151,1545,188,29,1239,1968,2127,917
98,2014,Northshore,0.252,0.476,0.26999999999999996,21230,10292,10938,0,84,3071,383,2660,65,1687,13280,1328,648,3898,19902,20582,17332
99,2014,Oak Harbor,0.32,0.28,0.4,5684,2704,2980,0,30,477,284,785,53,521,3534,190,100,2497,5494,5584,3187
100,2014,Ocean Beach,0.27,0.2,0.52,1028,481,547,0,16,10,0,169,0,64,769,64,23,704,964,1005,324
101,2014,Ocosta,0.3,0.13,0.57,653,315,338,0,27,7,3,137,0,62,417,63,15,479,590,638,174
102,2014,Okanogan,0.42,0.22,0.36,1092,533,559,0,114,3,1,258,0,69,646,96,12,691,996,1080,401
103,2014,Olympia,0.26666666666666666,0.5066666666666667,0.22666666666666668,9777,4685,5092,0,42,731,184,1038,32,940,6810,219,24,3225,9558,9753,6552
104,2014,Omak,0.27,0.32499999999999996,0.405,5218,2684,2534,0,412,195,210,635,40,183,3543,149,21,2057,5069,5197,3161
105,2014,Onalaska,0.375,0.15000000000000002,0.475,762,361,401,0,8,4,1,83,0,25,641,27,0,459,735,762,303
106,2014,Orcas Island,0.20500000000000002,0.415,0.375,882,443,439,0,3,21,18,67,3,38,732,38,0,242,844,882,640
107,2014,Oroville,0.17,0.27,0.56,585,282,303,0,14,7,3,213,2,11,335,90,0,414,495,585,171
108,2014,Orting,0.22,0.18,0.6,2438,1209,1229,0,13,25,28,316,8,182,1866,50,23,1039,2388,2415,1399
109,2014,Othello,0.3,0.31,0.38,4134,1978,2156,0,0,8,4,3640,0,21,461,1623,73,3446,2511,4061,688
110,2014,Pasco,0.325,0.16999999999999998,0.5,17183,8329,8854,0,17,190,272,11988,31,389,4296,6147,584,12923,11036,16599,4260
111,2014,Peninsula,0.24333333333333332,0.4566666666666667,0.30333333333333334,9101,4430,4671,0,44,162,67,675,18,771,7364,69,160,2497,9032,8941,6604
112,2014,Port Angeles,0.42,0.215,0.37,3793,1830,1963,0,186,63,28,292,6,422,2796,47,65,2169,3746,3728,1624
113,2014,Port Townsend,0.26,0.4,0.34,1204,608,596,0,10,28,18,81,5,68,993,14,0,642,1190,1204,562
114,2014,Prosser,0.225,0.275,0.495,2828,1412,1416,0,6,33,12,1743,1,46,987,633,83,1929,2195,2745,899
115,2014,Pullman,0.16,0.56,0.28,2685,1281,1404,0,15,255,70,275,9,175,1886,151,55,843,2534,2630,1842
116,2014,Puyallup,0.2775,0.34,0.3875,21665,10428,11237,0,191,1016,774,3282,282,2525,13595,918,916,8495,20747,20749,13170
117,2014,Quillayute Valley,0.16999999999999998,0.2,0.63,2877,1574,1303,0,112,49,118,549,13,180,1856,116,54,1797,2761,2823,1080
118,2014,Quincy,0.475,0.11499999999999999,0.41000000000000003,2710,1363,1347,0,0,2,3,2354,0,7,344,1148,47,2340,1562,2663,370
119,2014,Rainier,0.49,0.18,0.33,838,412,426,0,12,7,5,74,1,43,696,5,0,481,833,838,357
120,2014,Raymond,0.33,0.28,0.39,697,333,364,0,17,37,6,151,3,24,459,64,1,435,633,696,262
121,2014,Reardan-Edwall,0.27,0.29,0.44,607,295,312,0,32,1,3,24,0,37,510,29,0,287,578,607,320
122,2014,Renton,0.335,0.305,0.36,15776,7608,8168,0,99,3883,2775,3457,148,1112,4302,2521,475,9038,13255,15301,6738
123,2014,Richland,0.25,0.41,0.34,12718,6218,6500,0,71,474,257,1993,28,447,9448,471,270,4845,12247,12448,7873
124,2014,Ridgefield,0.33,0.32,0.36,2339,1174,1165,0,6,34,16,246,3,111,1923,77,109,785,2262,2230,1554
125,2014,Ritzville,0.39,0.43,0.17,383,176,207,0,6,5,6,28,1,2,335,0,0,162,383,383,221
126,2014,Riverside,0.255,0.21000000000000002,0.535,1520,709,811,0,45,7,8,65,4,22,1369,11,15,786,1509,1505,734
127,2014,Riverview,0.245,0.41500000000000004,0.33999999999999997,3306,1690,1616,0,18,84,17,413,9,151,2614,109,30,658,3197,3276,2648
128,2014,Rochester,0.355,0.08,0.5700000000000001,2242,1063,1179,0,78,7,14,458,1,145,1539,106,107,1279,2136,2135,963
129,2014,Royal,0.31,0.28,0.41,1679,839,840,0,0,2,1,1376,0,2,298,771,0,1176,908,1679,503
130,2014,San Juan Island,0.22,0.53,0.25,793,395,398,0,4,12,5,129,1,37,605,36,90,396,757,703,397
131,2014,Sedro-Woolley,0.37,0.22,0.42,4394,2161,2233,0,97,37,39,874,12,150,3185,204,14,2511,4190,4380,1883
132,2014,Selah,0.325,0.29000000000000004,0.385,3615,1751,1864,0,25,12,18,1001,2,89,2468,214,59,1914,3401,3556,1701
133,2014,Sequim,0.37,0.29,0.34,2910,1439,1471,0,55,43,15,296,4,221,2276,44,63,1447,2866,2847,1463
134,2014,Shelton,0.29500000000000004,0.17,0.535,4265,2046,2219,0,143,21,17,1180,16,293,2595,451,110,3002,3814,4155,1263
135,2014,Shoreline,0.26333333333333336,0.55,0.18666666666666668,9339,4474,4865,0,40,1286,652,1187,40,1048,5086,681,628,2892,8658,8711,6447
136,2014,Snohomish,0.3333333333333333,0.39666666666666667,0.27,10150,4928,5222,0,68,386,115,991,20,561,8009,317,1222,2523,9833,8928,7627
137,2014,Snoqualmie Valley,0.275,0.5,0.22499999999999998,6688,3187,3501,0,35,325,56,434,12,274,5552,145,158,998,6543,6530,5690
138,2014,South Bend,0.31,0.26,0.44,633,297,336,0,19,20,1,269,4,73,247,98,0,373,535,633,260
139,2014,South Kitsap,0.33499999999999996,0.21500000000000002,0.44499999999999995,9514,4538,4976,0,91,280,141,1019,145,1064,6774,123,271,4282,9391,9243,5232
140,2014,South Whidbey,0.17,0.48,0.35,1467,718,749,0,13,44,16,88,5,47,1254,10,3,500,1457,1464,967
141,2014,Spokane,0.26833333333333337,0.365,0.36333333333333334,30278,14695,15583,0,468,747,841,3011,444,3812,20955,1521,819,18651,28757,29459,11627
